ILI Tool,Adjstd Weld Number,Adjstd Approx Milepost,Adjstd Approx Map Station (ft),Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,24,,,476.06,476.04,111,ML Int,D13.92,15.93,13.92,1.17,U476.06,476.06,4707.24,0.219,10,20,0.28,0.28,186,29.85,,2264,2261,2264,2260,3144,3139,35.0879692,-119.4054620,739.83,,8.625,X52,ERW,1363
MFL,24,,,476.08,476.06,112,ML Int,D13.90,15.95,13.90,1.00,U476.08,476.08,4707.22,0.219,11,21,0.28,0.28,159,29.85,,2264,2261,2263,2260,3144,3138,35.0879692,-119.4054620,739.83,,8.625,X52,ERW,1363
MFL,24,,,476.27,476.17,113,ML Int Cluster,D13.72,16.14,13.72,1.04,U476.27,476.27,4707.04,0.219,17,27,1.61,1.61,166,29.85,,2170,2101,2219,2178,3082,3025,35.0879690,-119.4054615,739.83,,8.625,X52,ERW,1363
MFL,24,,,476.93,476.91,114,ML Int,D13.05,16.80,13.05,1.18,U476.93,476.93,4706.38,0.219,10,20,0.28,0.28,188,29.85,,2264,2261,2264,2260,3144,3139,35.0879685,-119.4054593,739.82,,8.625,X52,ERW,1363
MFL,24,,,477.08,477.07,115,ML EXT Cluster,D12.90,16.95,12.90,1.10,U477.08,477.08,4706.22,0.219,31,41,0.47,0.95,176,29.85,,2239,2225,2232,2213,3100,3074,35.0879684,-119.4054588,739.82,,8.625,X52,ERW,1363
MFL,24,,,477.27,477.26,116,ML Int Cluster,D12.71,17.14,12.71,1.10,U477.27,477.27,4706.03,0.219,16,26,0.39,0.81,176,29.85,,2258,2251,2256,2248,3134,3122,35.0879683,-119.4054582,739.81,,8.625,X52,ERW,1363
MFL,24,,,477.75,477.74,117,ML Int,D12.23,17.62,12.23,1.05,U477.75,477.75,4705.55,0.219,10,20,0.28,0.22,167,29.85,,2264,2261,2264,2260,3144,3139,35.0879679,-119.4054567,739.81,,8.625,X52,ERW,1363
MFL,24,,,481.60,481.59,118,ML Int,D8.38,21.47,8.38,0.85,U481.60,481.60,4701.70,0.219,12,22,0.28,0.28,135,29.85,,2264,2261,2263,2259,3143,3138,35.0879650,-119.4054443,739.76,,8.625,X52,ERW,1363
MFL,24,,,488.97,488.95,119,ML Int Cluster,D1.01,28.84,1.01,0.93,U488.97,488.97,4694.34,0.219,11,21,1.22,0.43,148,29.85,,2225,2181,2247,2226,3120,3091,35.0879595,-119.4054204,739.74,,8.625,X52,ERW,1363
MFL,24,,,489.73,489.40,120,ML Int Cluster HAZ impact GW,D0.25,29.60,0.25,1.04,U489.73,489.73,4693.57,0.219,18,28,4.12,1.75,166,29.85,,2044,1907,2198,2138,3052,2970,35.0879589,-119.4054181,739.80,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,25,0.089,5+04,489.98,,121,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D0.44,29.85,0.44,,U489.98,489.98,4693.32,0.322,,,,,,0.44,,,,,,,,35.0879588,-119.4054174,739.85,,8.625,X52,Elbow,1363
MFL,25,0.089,5+04,490.20,,122,Bend - 20° 1.5D Sag Forged Bend,D0.22,0.22,0.22,,U490.20,490.20,4693.10,0.322,,,,,338,0.44,,,,,,,,35.0879586,-119.4054166,739.91,,8.625,X52,Elbow,1363
MFL,26,0.095,5+33,490.42,,123,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U0.44,0.44,29.57,,U490.42,490.42,4692.88,0.219,,,,,,29.57,7,,,,,,,35.0879584,-119.4054159,739.96,,8.625,X52,ERW,1363
MFL,26,,,497.05,497.03,124,ML Int Cluster,U6.63,6.63,22.94,1.10,U497.05,497.05,4686.25,0.219,13,23,0.47,0.91,175,29.57,,2257,2248,2256,2245,3133,3117,35.0879539,-119.4053961,742.16,,8.625,X52,ERW,1363
MFL,26,,,497.64,497.53,125,ML Int Cluster,U7.22,7.22,22.36,1.09,U497.64,497.64,4685.66,0.219,11,21,1.45,1.02,174,29.57,,2214,2158,2228,2186,3094,3036,35.0879535,-119.4053943,742.36,,8.625,X52,ERW,1363
MFL,26,,,498.42,498.40,126,ML Int,U8.00,8.00,21.58,1.06,U498.42,498.42,4684.89,0.219,10,20,0.28,0.28,169,29.57,,2264,2261,2264,2260,3144,3139,35.0879529,-119.4053920,742.62,,8.625,X52,ERW,1363
MFL,26,,,499.02,499.01,127,ML Int,U8.60,8.60,20.97,1.06,U499.02,499.02,4684.28,0.219,12,22,0.28,0.28,169,29.57,,2264,2261,2263,2259,3143,3138,35.0879525,-119.4053901,742.83,,8.625,X52,ERW,1363
MFL,26,,,501.92,501.91,128,ML Int,U11.50,11.50,18.07,1.13,U501.92,501.92,4681.38,0.219,12,22,0.27,0.27,180,29.57,,2264,2261,2263,2259,3143,3138,35.0879505,-119.4053812,743.82,,8.625,X52,ERW,1363
MFL,26,,,504.35,504.33,129,ML Int,U13.93,13.93,15.65,1.02,U504.35,504.35,4678.95,0.219,28,38,0.27,0.42,163,29.57,,2258,2254,2256,2250,3134,3125,35.0879488,-119.4053739,744.63,,8.625,X52,ERW,1363
MFL,26,,,504.48,504.47,130,ML Int,U14.06,14.06,15.51,1.10,U504.48,504.48,4678.82,0.219,19,29,0.28,0.28,176,29.57,,2262,2258,2260,2256,3139,3133,35.0879487,-119.4053736,744.67,,8.625,X52,ERW,1363
MFL,27,0.095,5+35,520.00,,131,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D1.45,29.57,1.45,,U520.00,520.00,4663.31,0.322,,,,,,1.45,,,,,,,,35.0879380,-119.4053269,749.92,,8.625,X52,Elbow,1363
MFL,27,0.095,5+34,520.76,,132,Bend - 75° 1.5D Right Forged Bend,D0.69,0.76,0.69,,U520.76,520.76,4662.55,0.322,,,,,68,1.45,,,,,,,,35.0879362,-119.4053261,750.08,,8.625,X52,Elbow,1363
MFL,28,0.101,5+66,521.45,,133,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U1.45,1.45,31.05,,U521.45,521.45,4661.86,0.219,,,,,,31.05,60,,,,,,,35.0879343,-119.4053260,750.16,,8.625,X52,ERW,1363
MFL,28,,,523.89,523.88,134,ML Int,U2.45,2.45,28.60,1.10,U523.89,523.89,4659.41,0.219,21,31,0.51,0.49,175,31.05,,2247,2234,2243,2226,3115,3092,35.0879272,-119.4053263,750.40,,8.625,X52,ERW,1363
MFL,28,,,525.18,525.16,135,ML Int Cluster,U3.73,3.73,27.32,0.93,U525.18,525.18,4658.12,0.219,17,27,0.43,0.54,149,31.05,,2256,2247,2255,2244,3132,3117,35.0879238,-119.4053264,750.52,,8.625,X52,ERW,1363
MFL,28,,,525.38,525.36,136,ML Int,U3.93,3.93,27.12,0.91,U525.38,525.38,4657.93,0.219,11,21,0.27,0.27,145,31.05,,2264,2261,2264,2260,3144,3138,35.0879232,-119.4053264,750.54,,8.625,X52,ERW,1363
MFL,28,,,528.05,528.00,137,ML Int Cluster,U6.60,6.60,24.45,1.11,U528.05,528.05,4655.25,0.219,10,20,1.49,2.14,177,31.05,,2217,2160,2226,2180,3092,3028,35.0879160,-119.4053267,750.78,,8.625,X52,ERW,1363
MFL,28,,,528.26,528.21,138,ML Int Cluster,U6.82,6.82,24.23,1.15,U528.26,528.26,4655.04,0.219,13,23,1.02,1.80,184,31.05,,2229,2193,2222,2179,3087,3026,35.0879154,-119.4053267,750.80,,8.625,X52,ERW,1363
MFL,28,,,528.54,528.52,139,ML Int,U7.10,7.10,23.95,1.16,U528.54,528.54,4654.76,0.219,11,21,0.47,0.47,185,31.05,,2259,2250,2257,2246,3135,3119,35.0879147,-119.4053268,750.83,,8.625,X52,ERW,1363
MFL,28,,,528.96,528.95,140,ML Int,U7.52,7.52,23.53,0.91,U528.96,528.96,4654.34,0.219,10,20,0.27,0.27,145,31.05,,2264,2261,2264,2260,3144,3139,35.0879136,-119.4053268,750.87,,8.625,X52,ERW,1363
MFL,28,,,529.17,529.16,141,ML Int Cluster,U7.72,7.72,23.33,1.15,U529.17,529.17,4654.13,0.219,10,20,1.29,1.48,183,31.05,,2226,2179,2237,2203,3107,3060,35.0879130,-119.4053268,750.89,,8.625,X52,ERW,1363
MFL,28,,,529.66,529.65,142,ML Int Cluster,U8.21,8.21,22.84,1.17,U529.66,529.66,4653.64,0.219,15,25,0.31,0.68,187,31.05,,2262,2257,2261,2255,3140,3132,35.0879118,-119.4053269,750.93,,8.625,X52,ERW,1363
MFL,28,,,530.73,530.70,143,ML Int Cluster,U9.28,9.28,21.77,0.93,U530.73,530.73,4652.57,0.219,12,22,0.47,0.41,149,31.05,,2258,2249,2257,2245,3134,3118,35.0879089,-119.4053270,751.03,,8.625,X52,ERW,1363
MFL,28,,,530.99,530.97,144,ML Int,U9.55,9.55,21.50,1.20,U530.99,530.99,4652.31,0.219,10,20,0.28,0.28,192,31.05,,2264,2261,2264,2260,3144,3139,35.0879082,-119.4053270,751.05,,8.625,X52,ERW,1363
MFL,28,,,531.01,530.99,145,ML Int,U9.56,9.56,21.49,1.02,U531.01,531.01,4652.29,0.219,26,36,0.28,0.28,162,31.05,,2259,2255,2257,2251,3135,3127,35.0879081,-119.4053270,751.06,,8.625,X52,ERW,1363
MFL,28,,,531.18,531.11,146,ML Int Cluster,U9.73,9.73,21.32,1.09,U531.18,531.18,4652.12,0.219,30,40,1.02,1.08,173,31.05,,2165,2116,2203,2159,3060,2999,35.0879076,-119.4053271,751.07,,8.625,X52,ERW,1363
MFL,28,,,531.71,531.60,147,ML Int Cluster,U10.27,10.27,20.78,1.14,U531.71,531.71,4651.59,0.219,12,22,1.73,0.53,181,31.05,,2195,2125,2231,2198,3098,3052,35.0879063,-119.4053271,751.12,,8.625,X52,ERW,1363
MFL,28,,,532.21,532.19,148,ML Int,U10.76,10.76,20.29,1.17,U532.21,532.21,4651.09,0.219,11,21,0.28,0.28,187,31.05,,2264,2261,2263,2260,3144,3138,35.0879049,-119.4053272,751.16,,8.625,X52,ERW,1363
MFL,28,,,533.55,533.46,149,ML Int Cluster,U12.10,12.10,18.95,1.15,U533.55,533.55,4649.76,0.219,10,20,1.26,1.04,184,31.05,,2228,2182,2240,2210,3111,3070,35.0879013,-119.4053273,751.27,,8.625,X52,ERW,1363
MFL,28,,,533.71,533.59,150,ML Int Cluster,U12.27,12.27,18.78,1.18,U533.71,533.71,4649.59,0.219,13,23,1.84,2.50,188,31.05,,2182,2107,2217,2174,3079,3019,35.0879009,-119.4053273,751.29,,8.625,X52,ERW,1363
MFL,28,,,533.84,533.83,151,ML Int,U12.39,12.39,18.66,1.22,U533.84,533.84,4649.46,0.219,15,25,0.28,0.28,194,31.05,,2263,2259,2262,2258,3142,3136,35.0879005,-119.4053273,751.30,,8.625,X52,ERW,1363
MFL,28,,,534.05,534.04,152,ML Int,U12.61,12.61,18.44,1.07,U534.05,534.05,4649.25,0.219,10,20,0.27,0.27,170,31.05,,2264,2261,2264,2260,3144,3139,35.0878999,-119.4053274,751.31,,8.625,X52,ERW,1363
MFL,28,,,535.53,535.52,153,ML Int,U14.09,14.09,16.96,0.97,U535.53,535.53,4647.77,0.219,11,21,0.39,0.27,154,31.05,,2261,2255,2260,2252,3139,3128,35.0878959,-119.4053275,751.41,,8.625,X52,ERW,1363
MFL,28,,,535.56,535.54,154,ML Int,U14.12,14.12,16.93,1.14,U535.56,535.56,4647.74,0.219,12,22,0.31,0.33,182,31.05,,2263,2259,2262,2257,3142,3134,35.0878959,-119.4053275,751.41,,8.625,X52,ERW,1363
MFL,28,,,535.84,535.68,155,ML Int Cluster,U14.40,14.40,16.65,1.16,U535.84,535.84,4647.46,0.219,17,27,2.12,1.29,185,31.05,,2136,2046,2208,2165,3067,3007,35.0878950,-119.4053275,751.43,,8.625,X52,ERW,1363
MFL,28,,,537.06,537.06,156,ML Int,D15.43,15.62,15.43,1.19,U537.06,537.06,4646.24,0.219,10,20,0.24,0.45,190,31.05,,2265,2263,2265,2262,3145,3141,35.0878918,-119.4053276,751.51,,8.625,X52,ERW,1363
MFL,28,,,537.09,537.03,157,ML Int Cluster,D15.40,15.65,15.40,1.03,U537.09,537.09,4646.21,0.219,25,35,0.98,0.45,164,31.05,,2190,2149,2225,2199,3090,3054,35.0878916,-119.4053276,751.52,,8.625,X52,ERW,1363
MFL,28,,,537.38,537.37,158,ML Int Cluster,D15.11,15.94,15.11,0.98,U537.38,537.38,4645.92,0.219,10,20,0.78,0.27,156,31.05,,2248,2227,2252,2235,3128,3104,35.0878909,-119.4053277,751.53,,8.625,X52,ERW,1363
MFL,28,,,537.84,537.82,159,ML Int,D14.66,16.39,14.66,1.12,U537.84,537.84,4645.46,0.219,22,32,0.28,0.28,178,31.05,,2261,2257,2259,2254,3138,3130,35.0878896,-119.4053277,751.57,,8.625,X52,ERW,1363
MFL,28,,,539.55,539.45,160,ML Int Cluster,D12.94,18.11,12.94,1.09,U539.55,539.55,4643.75,0.219,34,44,1.38,0.54,174,31.05,,2084,2008,2206,2181,3064,3030,35.0878850,-119.4053279,751.68,,8.625,X52,ERW,1363
MFL,28,,,539.69,539.67,161,ML Int,D12.81,18.24,12.81,1.09,U539.69,539.69,4643.62,0.219,11,21,0.27,0.27,173,31.05,,2264,2261,2264,2260,3144,3138,35.0878846,-119.4053279,751.69,,8.625,X52,ERW,1363
MFL,28,,,539.89,539.87,162,ML Int,D12.61,18.44,12.61,1.12,U539.89,539.89,4643.42,0.219,21,31,0.28,0.28,179,31.05,,2261,2257,2260,2254,3138,3131,35.0878841,-119.4053279,751.70,,8.625,X52,ERW,1363
MFL,28,,,540.02,540.00,163,ML Int,D12.48,18.57,12.48,1.09,U540.02,540.02,4643.28,0.219,26,36,0.27,0.27,174,31.05,,2259,2255,2257,2251,3135,3127,35.0878837,-119.4053279,751.71,,8.625,X52,ERW,1363
MFL,28,,,540.92,540.91,164,ML Int,D11.58,19.47,11.58,0.97,U540.92,540.92,4642.38,0.219,10,20,0.28,0.28,155,31.05,,2264,2261,2264,2260,3144,3139,35.0878812,-119.4053280,751.77,,8.625,X52,ERW,1363
MFL,28,,,541.11,541.06,165,ML Int Cluster,D11.38,19.67,11.38,1.10,U541.11,541.11,4642.19,0.219,12,22,2.01,2.20,176,31.05,,2182,2101,2203,2139,3060,2971,35.0878807,-119.4053280,751.78,,8.625,X52,ERW,1363
MFL,28,,,541.76,541.75,166,ML Int,D10.73,20.32,10.73,0.97,U541.76,541.76,4641.54,0.219,11,21,0.27,0.27,155,31.05,,2264,2261,2264,2260,3144,3138,35.0878789,-119.4053281,751.83,,8.625,X52,ERW,1363
MFL,28,,,542.27,542.25,167,ML Int Cluster,D10.23,20.82,10.23,0.93,U542.27,542.27,4641.03,0.219,23,33,0.47,0.81,149,31.05,,2248,2236,2250,2236,3125,3106,35.0878776,-119.4053281,751.86,,8.625,X52,ERW,1363
MFL,28,,,542.91,542.87,168,ML Int Cluster,D9.59,21.46,9.59,1.02,U542.91,542.91,4640.39,0.219,21,31,1.88,1.61,163,31.05,,2119,2034,2203,2149,3059,2985,35.0878758,-119.4053282,751.91,,8.625,X52,ERW,1363
MFL,28,,,544.05,543.88,169,ML Int Cluster,D8.45,22.60,8.45,1.04,U544.05,544.05,4639.26,0.219,23,33,2.16,0.64,166,31.05,,2079,1980,2210,2174,3070,3020,35.0878729,-119.4053283,751.97,,8.625,X52,ERW,1363
MFL,28,,,545.81,545.79,170,ML Int,D6.69,24.36,6.69,1.04,U545.81,545.81,4637.50,0.219,12,22,0.27,0.27,166,31.05,,2264,2261,2263,2259,3143,3138,35.0878681,-119.4053286,752.06,,8.625,X52,ERW,1363
MFL,28,,,545.94,545.93,171,ML Int,D6.55,24.50,6.55,1.10,U545.94,545.94,4637.36,0.219,21,31,0.28,0.28,176,31.05,,2261,2257,2260,2254,3138,3131,35.0878677,-119.4053286,752.07,,8.625,X52,ERW,1363
MFL,28,,,548.54,548.53,172,ML Int,D3.96,27.09,3.96,0.90,U548.54,548.54,4634.76,0.219,11,21,0.27,0.27,144,31.05,,2264,2261,2264,2260,3144,3138,35.0878608,-119.4053290,752.21,,8.625,X52,ERW,1363
MFL,28,,,548.72,548.70,173,ML Int Cluster,D3.78,27.27,3.78,0.90,U548.72,548.72,4634.59,0.219,17,27,1.14,0.41,144,31.05,,2206,2161,2240,2219,3112,3082,35.0878603,-119.4053290,752.22,,8.625,X52,ERW,1363
MFL,29,0.104,5+81,552.50,,174,Weld,D15.27,31.05,15.27,,U552.50,552.50,4630.81,0.219,,,,,,15.27,18,,,,,,,35.0878495,-119.4053296,752.43,,8.625,X52,ERW,1363
MFL,29,,,552.58,552.57,175,ML Int HAZ impact GW,U0.08,0.08,15.19,1.24,U552.58,552.58,4630.72,0.219,19,29,0.28,0.28,198,15.27,,2262,2258,2260,2256,3139,3133,35.0878493,-119.4053296,752.44,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,29,,,559.47,559.45,176,ML Int,U6.98,6.98,8.29,1.02,U559.47,559.47,4623.83,0.219,10,20,0.28,0.24,162,15.27,,2264,2261,2264,2260,3144,3139,35.0878307,-119.4053308,752.82,,8.625,X52,ERW,1363
MFL,30,0.104,5+61,567.76,,177,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D0.51,15.27,0.51,,U567.76,567.76,4615.54,0.322,,,,,,0.51,,,,,,,,35.0878080,-119.4053319,753.30,,8.625,X52,Elbow,1363
MFL,30,0.104,5+81,568.03,,178,Bend - 25° 3D Left Forged Bend,D0.25,0.26,0.25,,U568.03,568.03,4615.28,0.322,,,,,248,0.51,,,,,,,,35.0878074,-119.4053317,753.32,,8.625,X52,Elbow,1363
MFL,31,0.105,5+64,568.27,,179,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U0.51,0.51,2.85,,U568.27,568.27,4615.03,0.219,,,,,,2.85,,,,,,,,35.0878067,-119.4053314,753.34,,8.625,X52,ERW,1363
MFL,31,,,568.46,568.45,180,ML Int HAZ impact GW,U0.19,0.19,2.66,1.05,U568.46,568.46,4614.85,0.219,10,20,0.28,0.28,167,2.85,,2264,2261,2264,2260,3144,3139,35.0878062,-119.4053312,753.35,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,31,,,570.00,569.96,181,ML EXT Cluster,D1.12,1.73,1.12,1.56,U570.00,570.00,4613.30,0.219,20,30,0.67,1.22,249,2.85,,2236,2216,2240,2217,3111,3079,35.0878024,-119.4053297,753.47,,8.625,X52,ERW,1363
MFL,31,,,570.17,570.09,182,ML Int Cluster,D0.95,1.90,0.95,1.12,U570.17,570.17,4613.13,0.219,15,25,1.88,1.88,179,2.85,,2165,2086,2198,2131,3053,2960,35.0878019,-119.4053295,753.48,,8.625,X52,ERW,1363
MFL,31,,,570.82,570.78,183,ML EXT Cluster HAZ impact GW,D0.30,2.55,0.30,1.58,U570.82,570.82,4612.48,0.219,15,25,0.63,1.11,252,2.85,,2247,2231,2243,2223,3116,3087,35.0878002,-119.4053288,753.53,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,32,0.112,6+04,571.12,,184,Weld,U2.85,2.85,40.21,,U571.12,571.12,4612.19,0.219,,,,,,40.21,20,,,,,,,35.0877995,-119.4053285,753.55,,8.625,X52,ERW,1363
MFL,32,,,571.90,571.84,185,ML Int Cluster,U0.78,0.78,39.43,1.02,U571.90,571.90,4611.41,0.219,11,21,2.71,2.28,163,40.21,,2165,2062,2200,2132,3056,2961,35.0877975,-119.4053276,753.61,,8.625,X52,ERW,1363
MFL,32,,,572.55,572.42,186,ML Int Cluster,U1.43,1.43,38.78,1.04,U572.55,572.55,4610.76,0.219,32,42,1.65,1.61,166,40.21,,2056,1967,2220,2188,3083,3038,35.0877957,-119.4053269,753.67,,8.625,X52,ERW,1363
MFL,32,,,572.71,572.69,187,ML Int,U1.60,1.60,38.62,1.12,U572.71,572.71,4610.59,0.219,11,21,0.27,0.27,179,40.21,,2264,2261,2264,2260,3144,3138,35.0877953,-119.4053268,753.68,,8.625,X52,ERW,1363
MFL,32,,,575.71,575.63,188,ML Int Cluster,U4.60,4.60,35.61,1.19,U575.71,575.71,4607.59,0.219,15,25,1.45,1.75,190,40.21,,2193,2133,2211,2157,3071,2996,35.0877875,-119.4053236,753.91,,8.625,X52,ERW,1363
MFL,32,,,575.98,575.96,189,ML Int,U4.86,4.86,35.35,1.06,U575.98,575.98,4607.33,0.219,11,21,0.28,0.28,169,40.21,,2264,2261,2263,2260,3144,3138,35.0877869,-119.4053233,753.93,,8.625,X52,ERW,1363
MFL,32,,,576.43,576.28,190,ML Int Cluster,U5.32,5.32,34.90,1.15,U576.43,576.43,4606.87,0.219,24,34,1.85,1.16,184,40.21,,2098,2011,2193,2152,3046,2988,35.0877858,-119.4053229,753.96,,8.625,X52,ERW,1363
MFL,32,,,578.25,578.23,191,ML Int,U7.13,7.13,33.08,1.10,U578.25,578.25,4605.05,0.219,10,20,0.28,0.28,175,40.21,,2264,2261,2264,2260,3144,3139,35.0877811,-119.4053209,754.10,,8.625,X52,ERW,1363
MFL,32,,,578.50,578.49,192,ML Int,U7.39,7.39,32.83,0.90,U578.50,578.50,4604.80,0.219,11,21,0.28,0.28,143,40.21,,2264,2261,2263,2260,3144,3138,35.0877804,-119.4053207,754.12,,8.625,X52,ERW,1363
MFL,32,,,578.53,578.52,193,ML Int,U7.41,7.41,32.80,1.09,U578.53,578.53,4604.78,0.219,10,20,0.28,0.28,174,40.21,,2264,2261,2264,2260,3144,3139,35.0877804,-119.4053207,754.12,,8.625,X52,ERW,1363
MFL,32,,,578.71,578.70,194,ML Int,U7.60,7.60,32.61,1.09,U578.71,578.71,4604.59,0.219,10,20,0.27,0.27,174,40.21,,2264,2261,2264,2260,3144,3139,35.0877798,-119.4053204,754.14,,8.625,X52,ERW,1363
MFL,32,,,579.20,579.18,195,ML Int,U8.08,8.08,32.13,1.03,U579.20,579.20,4604.10,0.219,12,22,0.43,0.43,164,40.21,,2259,2252,2258,2248,3136,3122,35.0877786,-119.4053199,754.17,,8.625,X52,ERW,1363
MFL,32,,,580.60,580.59,196,ML Int Cluster,U9.49,9.49,30.73,1.10,U580.60,580.60,4602.70,0.219,22,32,1.41,0.94,175,40.21,,2156,2092,2234,2211,3103,3071,35.0877750,-119.4053184,754.28,,8.625,X52,ERW,1363
MFL,32,,,580.89,580.87,197,ML Int Cluster,U9.77,9.77,30.44,1.12,U580.89,580.89,4602.42,0.219,13,23,2.00,0.68,179,40.21,,2175,2093,2231,2196,3098,3050,35.0877742,-119.4053181,754.31,,8.625,X52,ERW,1363
MFL,32,,,581.15,581.13,198,ML Int,U10.03,10.03,30.18,1.00,U581.15,581.15,4602.16,0.219,10,20,0.27,0.27,160,40.21,,2264,2261,2264,2260,3144,3139,35.0877735,-119.4053178,754.33,,8.625,X52,ERW,1363
MFL,32,,,581.26,581.24,199,ML Int,U10.14,10.14,30.07,1.12,U581.26,581.26,4602.04,0.219,15,25,0.43,0.43,178,40.21,,2257,2249,2255,2245,3132,3118,35.0877733,-119.4053177,754.33,,8.625,X52,ERW,1363
MFL,32,,,581.46,581.45,200,ML Int Cluster,U10.34,10.34,29.87,0.98,U581.46,581.46,4601.85,0.219,17,27,0.55,0.89,156,40.21,,2249,2236,2245,2228,3119,3095,35.0877728,-119.4053175,754.35,,8.625,X52,ERW,1363
MFL,32,,,581.77,581.75,201,ML Int,U10.65,10.65,29.56,1.17,U581.77,581.77,4601.54,0.219,15,25,0.28,0.28,186,40.21,,2263,2259,2262,2258,3142,3136,35.0877720,-119.4053172,754.37,,8.625,X52,ERW,1363
MFL,32,,,582.18,582.13,202,ML Int Cluster,U11.07,11.07,29.14,1.04,U582.18,582.18,4601.12,0.219,21,31,1.72,2.82,166,40.21,,2133,2054,2215,2175,3077,3021,35.0877709,-119.4053168,754.40,,8.625,X52,ERW,1363
MFL,32,,,582.42,582.40,203,ML Int,U11.30,11.30,28.91,1.09,U582.42,582.42,4600.89,0.219,10,20,0.67,0.67,173,40.21,,2253,2236,2250,2230,3125,3097,35.0877703,-119.4053165,754.42,,8.625,X52,ERW,1363
MFL,32,,,582.65,582.59,204,ML Int Cluster,U11.53,11.53,28.68,0.98,U582.65,582.65,4600.66,0.219,22,32,1.45,2.85,156,40.21,,2152,2086,2173,2110,3019,2930,35.0877698,-119.4053163,754.44,,8.625,X52,ERW,1363
MFL,32,,,583.02,583.01,205,ML Int,U11.91,11.91,28.31,1.09,U583.02,583.02,4600.28,0.219,12,22,0.28,0.28,173,40.21,,2264,2261,2263,2259,3143,3138,35.0877687,-119.4053159,754.47,,8.625,X52,ERW,1363
MFL,32,,,583.44,583.43,206,ML Int,U12.33,12.33,27.89,1.08,U583.44,583.44,4599.86,0.219,11,21,0.28,0.28,172,40.21,,2264,2261,2263,2260,3144,3138,35.0877677,-119.4053154,754.50,,8.625,X52,ERW,1363
MFL,32,,,584.75,584.74,207,ML Int,U13.63,13.63,26.58,1.06,U584.75,584.75,4598.56,0.219,11,21,0.27,0.27,169,40.21,,2264,2261,2264,2260,3144,3138,35.0877643,-119.4053140,754.60,,8.625,X52,ERW,1363
MFL,32,,,585.65,585.64,208,ML Int Cluster,U14.53,14.53,25.68,1.06,U585.65,585.65,4597.66,0.219,10,20,1.02,0.51,169,40.21,,2238,2205,2245,2221,3118,3084,35.0877619,-119.4053131,754.67,,8.625,X52,ERW,1363
MFL,32,,,586.26,586.23,209,ML Int,U15.14,15.14,25.07,0.96,U586.26,586.26,4597.05,0.219,12,22,0.43,0.43,153,40.21,,2259,2252,2258,2248,3136,3122,35.0877603,-119.4053124,754.72,,8.625,X52,ERW,1363
MFL,32,,,594.45,594.31,210,ML Int Cluster,D16.88,23.33,16.88,1.20,U594.45,594.45,4588.86,0.219,25,35,2.35,2.87,191,40.21,,2044,1936,2139,2068,2971,2873,35.0877390,-119.4053039,755.27,,8.625,X52,ERW,1363
MFL,32,,,595.32,595.30,211,ML Int,D16.00,24.21,16.00,1.10,U595.32,595.32,4587.98,0.219,11,21,0.31,0.31,176,40.21,,2263,2259,2262,2257,3142,3135,35.0877369,-119.4053030,755.32,,8.625,X52,ERW,1363
MFL,32,,,598.05,598.03,212,ML Int,D13.28,26.93,13.28,0.89,U598.05,598.05,4585.26,0.219,10,20,0.28,0.28,142,40.21,,2264,2261,2264,2260,3144,3139,35.0877298,-119.4053002,755.49,,8.625,X52,ERW,1363
MFL,33,0.118,6+34,611.33,,213,Weld,D29.83,40.21,29.83,,U611.33,611.33,4571.98,0.219,,,,,,29.83,344,,,,,,,35.0876951,-119.4052868,756.09,,8.625,X52,ERW,1363
MFL,33,,,627.66,627.61,214,ML Int Cluster,D13.49,16.34,13.49,1.05,U627.66,627.66,4555.64,0.219,46,56,1.06,1.96,168,29.83,,2072,2001,2015,1910,2799,2653,35.0876523,-119.4052713,756.58,,8.625,X52,ERW,1363
