BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSReferenceft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
GWD 790,Girth Weld,,2038.79,7.67,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,287.03,AGM 2,2909.49,45.88,45.07,11.38,45.88,45.07,790,20.04,21.84,33.6747273,-118.0158658,32.85,
CLS 1,Cluster,Ext,2046.46,0.38,0.280,35000,SMLS,8.625,715,12,0.034,2.565,2.738,4:58,2795,0.355,10,2.57,2799,AGM 1,294.69,AGM 2,2901.83,7.66,37.40,11.38,45.88,45.07,790,20.04,21.84,33.6747393,-118.0158452,32.70,CLS C
DMA 6,Metal Loss,Ext,2046.84,0.25,0.280,35000,SMLS,8.625,715,17,0.047,1.460,0.644,6:37,2828,0.351,17,1.46,2809,AGM 1,295.08,AGM 2,2901.45,8.05,37.02,11.38,45.88,45.07,790,20.04,21.84,33.6747399,-118.0158442,32.69,
CLS 2,Cluster,Ext,2047.10,0.73,0.280,35000,SMLS,8.625,715,18,0.052,2.112,3.109,7:01,2758,0.360,16,2.11,2752,AGM 1,295.33,AGM 2,2901.19,8.30,36.77,11.38,45.88,45.07,790,20.04,21.84,33.6747403,-118.0158435,32.69,CLS C
CLS 3,Cluster,Ext,2047.82,0.34,0.280,35000,SMLS,8.625,715,18,0.049,2.041,0.652,7:38,2773,0.358,9,2.04,2834,AGM 1,296.06,AGM 2,2900.46,9.03,36.04,11.38,45.88,45.07,790,20.04,21.84,33.6747414,-118.0158416,32.68,CLS C
CLS 4,Cluster,Ext,2048.17,0.06,0.280,35000,SMLS,8.625,715,16,0.044,3.930,3.981,6:08,2693,0.369,13,3.93,2705,AGM 1,296.40,AGM 2,2900.12,9.37,35.69,11.38,45.88,45.07,790,20.04,21.84,33.6747419,-118.0158407,32.67,CLS C
DMA 15,Metal Loss,Ext,2048.23,0.33,0.280,35000,SMLS,8.625,715,16,0.044,0.781,0.616,11:34,2890,0.344,16,0.78,2883,AGM 1,296.46,AGM 2,2900.06,9.43,35.63,11.38,45.88,45.07,790,20.04,21.84,33.6747420,-118.0158405,32.67,
DMA 17,Metal Loss,Ext,2048.56,0.75,0.280,35000,SMLS,8.625,715,11,0.032,0.805,0.606,3:40,2899,0.343,11,0.81,2894,AGM 1,296.80,AGM 2,2899.73,9.77,35.30,11.38,45.88,45.07,790,20.04,21.84,33.6747426,-118.0158396,32.66,
DMA 18,Metal Loss,Ext,2049.31,1.78,0.280,35000,SMLS,8.625,715,25,0.070,0.677,0.586,11:36,2879,0.345,25,0.68,2870,AGM 1,297.55,AGM 2,2898.98,10.52,34.55,11.38,45.88,45.07,790,20.04,21.84,33.6747437,-118.0158376,32.65,
DMA 19,Metal Loss,Ext,2051.09,1.13,0.280,35000,SMLS,8.625,715,21,0.059,0.501,0.549,11:23,2902,0.342,21,0.50,2898,AGM 1,299.32,AGM 2,2897.20,12.30,32.77,11.38,45.88,45.07,790,20.04,21.84,33.6747465,-118.0158328,32.61,
DMA 20,Metal Loss,Ext,2052.22,0.71,0.280,35000,SMLS,8.625,715,17,0.048,0.678,0.571,7:22,2895,0.343,17,0.68,2889,AGM 1,300.46,AGM 2,2896.06,13.43,31.64,11.38,45.88,45.07,790,20.04,21.84,33.6747483,-118.0158298,32.60,
DMA 21,Metal Loss,Ext,2052.93,30.93,0.280,35000,SMLS,8.625,715,24,0.068,0.738,0.490,6:19,2874,0.346,24,0.74,2863,AGM 1,301.17,AGM 2,2895.36,14.14,30.93,11.38,45.88,45.07,790,20.04,21.84,33.6747494,-118.0158279,32.58,
GWD 800,Girth Weld,,2083.86,20.05,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,332.10,AGM 2,2864.43,45.07,20.04,45.88,45.07,20.04,800,21.84,18.79,33.6747980,-118.0157450,32.22,
GWD 810,Girth Weld,,2103.91,5.79,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,352.14,AGM 2,2844.38,20.04,21.84,45.07,20.04,21.84,810,18.79,3.42,33.6748294,-118.0156913,31.90,
CLS 5,Cluster,Ext,2109.70,2.90,0.280,35000,SMLS,8.625,715,16,0.046,2.291,1.870,3:45,2767,0.359,9,2.29,2822,AGM 1,357.94,AGM 2,2838.59,5.80,16.05,45.07,20.04,21.84,810,18.79,3.42,33.6748384,-118.0156757,31.79,CLS C
DMA 24,Metal Loss,Ext,2112.60,13.15,0.280,35000,SMLS,8.625,715,30,0.084,0.687,0.843,2:24,2867,0.346,30,0.69,2853,AGM 1,360.83,AGM 2,2835.69,8.69,13.15,45.07,20.04,21.84,810,18.79,3.42,33.6748429,-118.0156679,31.74,
GWD 820,Girth Weld,,2125.75,18.79,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,373.98,AGM 2,2822.54,21.84,18.79,20.04,21.84,18.79,820,3.42,4.62,33.6748634,-118.0156325,31.48,
GWD 830,Girth Weld,,2144.54,1.16,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,392.77,AGM 2,2803.75,18.79,3.42,21.84,18.79,3.42,830,4.62,0.40,33.6748931,-118.0155823,31.10,
PMA 1,Pipe Mill,Ext,2145.69,2.26,0.280,35000,SMLS,8.625,715,11,0.032,0.795,1.453,3:34,,,,,,AGM 1,393.93,AGM 2,2802.59,1.16,2.26,21.84,18.79,3.42,830,4.62,0.40,33.6748949,-118.0155792,31.08,
GWD 840,Girth Weld,,2147.96,4.62,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,396.19,AGM 2,2800.33,3.42,4.62,18.79,3.42,4.62,840,0.40,8.42,33.6748985,-118.0155732,31.04,
GWD 850,Girth Weld,,2152.58,0.18,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,400.82,AGM 2,2795.71,4.62,0.40,3.42,4.62,0.40,850,8.42,17.91,33.6749058,-118.0155608,30.95,
BND 25,Bend,,2152.76,0.22,0.280,35000,ERW,8.625,715,,,23.764,,,,,,,,AGM 1,401.00,AGM 2,2795.53,0.18,0.22,3.42,4.62,0.40,850,8.42,17.91,33.6749061,-118.0155604,30.93,6.7D 22.9 deg left turn over bend
GWD 860,Girth Weld,,2152.98,8.42,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,401.22,AGM 2,2795.30,0.40,8.42,4.62,0.40,8.42,860,17.91,42.63,33.6749065,-118.0155599,30.92,
GWD 870,Girth Weld,,2161.41,8.20,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,409.64,AGM 2,2786.88,8.42,17.91,0.40,8.42,17.91,870,42.63,41.52,33.6749255,-118.0155444,30.00,
PMA 2,Pipe Mill,Ext,2169.61,9.71,0.280,35000,SMLS,8.625,715,11,0.030,1.268,3.942,3:51,,,,,,AGM 1,417.85,AGM 2,2778.68,8.20,9.71,0.40,8.42,17.91,870,42.63,41.52,33.6749439,-118.0155294,29.24,
GWD 880,Girth Weld,,2179.32,42.63,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,427.56,AGM 2,2768.97,17.91,42.63,8.42,17.91,42.63,880,41.52,43.26,33.6749659,-118.0155115,28.52,
GWD 890,Girth Weld,,2221.95,0.16,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,470.18,AGM 2,2726.34,42.63,41.52,17.91,42.63,41.52,890,43.26,43.30,33.6750630,-118.0154346,26.09,
DMA 25,Metal Loss,Ext,2222.11,41.36,0.280,35000,SMLS,8.625,715,36,0.101,0.864,0.925,3:57,2816,0.353,36,0.86,2788,AGM 1,470.35,AGM 2,2726.18,0.16,41.36,17.91,42.63,41.52,890,43.26,43.30,33.6750633,-118.0154343,26.08,
GWD 900,Girth Weld,,2263.47,7.10,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,511.71,AGM 2,2684.82,41.52,43.26,42.63,41.52,43.26,900,43.30,38.69,33.6751574,-118.0153591,25.26,
DMA 26,Metal Loss,Ext,2270.57,0.46,0.280,35000,SMLS,8.625,715,14,0.039,0.870,0.687,12:45,2889,0.344,14,0.87,2882,AGM 1,518.80,AGM 2,2677.72,7.10,36.17,42.63,41.52,43.26,900,43.30,38.69,33.6751735,-118.0153462,25.19,
CLS 6,Cluster,Ext,2271.03,35.71,0.280,35000,SMLS,8.625,715,22,0.061,1.857,1.524,11:56,2752,0.361,17,1.86,2762,AGM 1,519.26,AGM 2,2677.26,7.56,35.70,42.63,41.52,43.26,900,43.30,38.69,33.6751746,-118.0153454,25.19,CLS C
GWD 910,Girth Weld,,2306.73,43.30,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,554.97,AGM 2,2641.55,43.26,43.30,41.52,43.26,43.30,910,38.69,1.05,33.6752561,-118.0152810,25.50,
GWD 920,Girth Weld,,2350.03,35.46,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,598.27,AGM 2,2598.26,43.30,38.69,43.26,43.30,38.69,920,1.05,0.74,33.6753558,-118.0152045,26.07,
DMA 29,Metal Loss,Ext,2385.49,0.12,0.280,35000,SMLS,8.625,715,10,0.029,1.275,2.059,11:14,2877,0.345,10,1.28,2868,AGM 1,633.73,AGM 2,2562.79,35.46,3.23,43.26,43.30,38.69,920,1.05,0.74,33.6754380,-118.0151430,26.84,
DMA 30,Metal Loss,Ext,2385.61,0.45,0.280,35000,SMLS,8.625,715,21,0.059,1.393,0.775,7:42,2808,0.354,21,1.39,2784,AGM 1,633.85,AGM 2,2562.68,35.58,3.11,43.26,43.30,38.69,920,1.05,0.74,33.6754382,-118.0151428,26.84,
CLS 7,Cluster,Ext,2386.06,0.24,0.280,35000,SMLS,8.625,715,17,0.048,2.686,2.386,7:16,2732,0.363,16,2.69,2718,AGM 1,634.29,AGM 2,2562.23,36.02,2.67,43.26,43.30,38.69,920,1.05,0.74,33.6754393,-118.0151420,26.85,CLS C
DMA 33,Metal Loss,Ext,2386.30,0.32,0.280,35000,SMLS,8.625,715,11,0.030,0.673,1.157,6:15,2906,0.342,11,0.67,2903,AGM 1,634.54,AGM 2,2561.99,36.27,2.42,43.26,43.30,38.69,920,1.05,0.74,33.6754398,-118.0151416,26.86,
DMA 34,Metal Loss,Ext,2386.63,0.95,0.280,35000,SMLS,8.625,715,11,0.031,1.087,2.101,7:14,2884,0.344,11,1.09,2876,AGM 1,634.86,AGM 2,2561.66,36.59,2.10,43.26,43.30,38.69,920,1.05,0.74,33.6754406,-118.0151410,26.87,
DMA 35,Metal Loss,Ext,2387.57,0.73,0.280,35000,SMLS,8.625,715,24,0.066,0.473,0.512,6:30,2901,0.342,24,0.47,2897,AGM 1,635.81,AGM 2,2560.72,37.54,1.15,43.26,43.30,38.69,920,1.05,0.74,33.6754428,-118.0151394,26.90,
DMA 36,Metal Loss,Ext,2388.30,0.42,0.280,35000,SMLS,8.625,715,14,0.038,0.816,0.791,7:40,2893,0.343,14,0.82,2887,AGM 1,636.54,AGM 2,2559.99,38.27,0.42,43.26,43.30,38.69,920,1.05,0.74,33.6754445,-118.0151382,26.92,
GWD 930,Girth Weld,,2388.72,1.05,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,636.96,AGM 2,2559.56,38.69,1.05,43.30,38.69,1.05,930,0.74,1.89,33.6754455,-118.0151375,26.93,
GWD 940,Girth Weld,,2389.78,0.27,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,638.01,AGM 2,2558.51,1.05,0.74,38.69,1.05,0.74,940,1.89,4.24,33.6754479,-118.0151356,26.95,
BND 26,Bend,,2390.05,0.47,0.280,35000,ERW,8.625,715,,,23.388,,,,,,,,AGM 1,638.29,AGM 2,2558.24,0.28,0.47,38.69,1.05,0.74,940,1.89,4.24,33.6754484,-118.0151350,26.95,3.0D 40.5 deg right turn over bend
GWD 950,Girth Weld,,2390.52,1.89,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,638.75,AGM 2,2557.77,0.74,1.89,1.05,0.74,1.89,950,4.24,36.87,33.6754492,-118.0151337,26.96,
GWD 960,Girth Weld,,2392.41,4.24,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,640.64,AGM 2,2555.88,1.89,4.24,0.74,1.89,4.24,960,36.87,42.96,33.6754511,-118.0151280,26.96,
GWD 970,Girth Weld,,2396.65,0.16,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,644.89,AGM 2,2551.64,4.24,36.87,1.89,4.24,36.87,970,42.96,40.85,33.6754550,-118.0151149,26.98,
DMA 37,Metal Loss,Ext,2396.81,0.29,0.280,35000,SMLS,8.625,715,18,0.052,1.522,1.004,3:40,2813,0.353,18,1.52,2790,AGM 1,645.04,AGM 2,2551.48,0.15,36.72,1.89,4.24,36.87,970,42.96,40.85,33.6754552,-118.0151145,26.98,
DMA 38,Metal Loss,Ext,2397.10,0.08,0.280,35000,SMLS,8.625,715,14,0.040,1.885,1.389,2:48,2814,0.353,14,1.88,2793,AGM 1,645.33,AGM 2,2551.19,0.45,36.43,1.89,4.24,36.87,970,42.96,40.85,33.6754555,-118.0151136,26.98,
DMA 39,Metal Loss,Ext,2397.17,0.03,0.280,35000,SMLS,8.625,715,21,0.058,0.687,0.674,7:17,2887,0.344,21,0.69,2879,AGM 1,645.41,AGM 2,2551.11,0.52,36.35,1.89,4.24,36.87,970,42.96,40.85,33.6754556,-118.0151133,26.98,
DMA 40,Metal Loss,Ext,2397.20,0.13,0.280,35000,SMLS,8.625,715,28,0.078,1.128,0.667,5:48,2807,0.354,28,1.13,2780,AGM 1,645.44,AGM 2,2551.08,0.55,36.32,1.89,4.24,36.87,970,42.96,40.85,33.6754556,-118.0151132,26.98,
DMA 41,Metal Loss,Ext,2397.33,0.03,0.280,35000,SMLS,8.625,715,17,0.048,1.823,2.470,12:28,2796,0.355,17,1.82,2771,AGM 1,645.57,AGM 2,2550.95,0.68,36.19,1.89,4.24,36.87,970,42.96,40.85,33.6754557,-118.0151128,26.98,
DMA 42,Metal Loss,Ext,2397.36,0.46,0.280,35000,SMLS,8.625,715,17,0.048,0.896,0.510,2:11,2878,0.345,17,0.90,2868,AGM 1,645.59,AGM 2,2550.93,0.71,36.16,1.89,4.24,36.87,970,42.96,40.85,33.6754557,-118.0151128,26.98,
DMA 43,Metal Loss,Ext,2397.82,0.04,0.280,35000,SMLS,8.625,715,38,0.106,1.937,0.897,5:41,2570,0.386,38,1.94,2484,AGM 1,646.05,AGM 2,2550.47,1.17,35.71,1.89,4.24,36.87,970,42.96,40.85,33.6754562,-118.0151114,26.99,
DMA 44,Metal Loss,Ext,2397.86,0.12,0.280,35000,SMLS,8.625,715,45,0.126,0.583,0.579,3:54,2848,0.349,45,0.58,2826,AGM 1,646.09,AGM 2,2550.43,1.21,35.66,1.89,4.24,36.87,970,42.96,40.85,33.6754562,-118.0151112,26.99,
DMA 45,Metal Loss,Ext,2397.98,0.19,0.280,35000,SMLS,8.625,715,17,0.047,0.805,0.741,2:06,2886,0.344,17,0.81,2878,AGM 1,646.21,AGM 2,2550.31,1.33,35.55,1.89,4.24,36.87,970,42.96,40.85,33.6754563,-118.0151109,26.99,
CLS 8,Cluster,Ext,2398.17,35.35,0.280,35000,SMLS,8.625,715,28,0.078,1.517,2.144,2:35,2744,0.362,25,1.52,2730,AGM 1,646.40,AGM 2,2550.12,1.52,35.35,1.89,4.24,36.87,970,42.96,40.85,33.6754565,-118.0151103,27.00,CLS C
GWD 980,Girth Weld,,2433.52,39.93,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,681.76,AGM 2,2514.76,36.87,42.96,4.24,36.87,42.96,980,40.85,42.95,33.6754919,-118.0150026,27.10,
DMA 48,Metal Loss,Ext,2473.45,0.58,0.280,35000,SMLS,8.625,715,13,0.035,0.826,0.607,8:06,2895,0.343,13,0.83,2889,AGM 1,721.69,AGM 2,2474.84,39.93,3.03,4.24,36.87,42.96,980,40.85,42.95,33.6755313,-118.0148808,27.65,
CLS 9,Cluster,Ext,2474.03,0.20,0.280,35000,SMLS,8.625,715,15,0.042,0.800,2.303,6:21,2890,0.344,15,0.80,2884,AGM 1,722.26,AGM 2,2474.26,40.50,2.45,4.24,36.87,42.96,980,40.85,42.95,33.6755318,-118.0148790,27.66,CLS C
DMA 51,Metal Loss,Ext,2474.23,0.16,0.280,35000,SMLS,8.625,715,19,0.053,0.563,0.511,6:48,2900,0.342,19,0.56,2896,AGM 1,722.46,AGM 2,2474.06,40.71,2.25,4.24,36.87,42.96,980,40.85,42.95,33.6755320,-118.0148784,27.67,
DMA 52,Metal Loss,Ext,2474.39,0.13,0.280,35000,SMLS,8.625,715,11,0.032,0.383,0.572,8:38,2916,0.341,11,0.38,2915,AGM 1,722.63,AGM 2,2473.90,40.87,2.09,4.24,36.87,42.96,980,40.85,42.95,33.6755322,-118.0148779,27.67,
DMA 53,Metal Loss,Ext,2474.52,1.97,0.280,35000,SMLS,8.625,715,14,0.040,0.526,0.775,8:11,2908,0.341,14,0.53,2905,AGM 1,722.75,AGM 2,2473.77,40.99,1.97,4.24,36.87,42.96,980,40.85,42.95,33.6755323,-118.0148775,27.67,
GWD 990,Girth Weld,,2476.48,40.85,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,724.72,AGM 2,2471.80,42.96,40.85,36.87,42.96,40.85,990,42.95,43.54,33.6755342,-118.0148715,27.72,
GWD 1000,Girth Weld,,2517.34,42.95,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,765.57,AGM 2,2430.95,40.85,42.95,42.96,40.85,42.95,1000,43.54,42.84,33.6755742,-118.0147468,28.66,
GWD 1010,Girth Weld,,2560.28,43.54,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,808.52,AGM 2,2388.00,42.95,43.54,40.85,42.95,43.54,1010,42.84,43.74,33.6756155,-118.0146153,30.05,
GWD 1020,Girth Weld,,2603.83,42.84,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,852.06,AGM 2,2344.46,43.54,42.84,42.95,43.54,42.84,1020,43.74,41.96,33.6756572,-118.0144820,31.66,
GWD 1030,Girth Weld,,2646.66,43.74,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,894.90,AGM 2,2301.62,42.84,43.74,43.54,42.84,43.74,1030,41.96,25.80,33.6756976,-118.0143505,32.61,
GWD 1040,Girth Weld,,2690.40,41.96,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,938.64,AGM 2,2257.88,43.74,41.96,42.84,43.74,41.96,1040,25.80,8.41,33.6757399,-118.0142167,34.11,
GWD 1050,Girth Weld,,2732.37,0.27,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,980.60,AGM 2,2215.92,41.96,25.80,43.74,41.96,25.80,1050,8.41,9.01,33.6757797,-118.0140880,35.31,
DMA 54,Metal Loss,Ext,2732.63,0.08,0.280,35000,SMLS,8.625,715,17,0.049,0.723,0.575,10:31,2891,0.343,17,0.72,2884,AGM 1,980.87,AGM 2,2215.66,0.27,25.53,43.74,41.96,25.80,1050,8.41,9.01,33.6757799,-118.0140872,35.32,
DMA 55,Metal Loss,Ext,2732.71,0.00,0.280,35000,SMLS,8.625,715,24,0.067,1.213,1.192,5:14,2815,0.353,24,1.21,2792,AGM 1,980.95,AGM 2,2215.57,0.35,25.45,43.74,41.96,25.80,1050,8.41,9.01,33.6757800,-118.0140870,35.32,
DMA 56,Metal Loss,Ext,2732.72,0.12,0.280,35000,SMLS,8.625,715,13,0.038,1.068,0.857,3:18,2877,0.345,13,1.07,2868,AGM 1,980.95,AGM 2,2215.57,0.35,25.45,43.74,41.96,25.80,1050,8.41,9.01,33.6757800,-118.0140869,35.32,
CLS 10,Cluster,Ext,2732.83,0.11,0.280,35000,SMLS,8.625,715,21,0.058,1.664,3.882,11:38,2782,0.357,20,1.66,2755,AGM 1,981.07,AGM 2,2215.46,0.47,25.33,43.74,41.96,25.80,1050,8.41,9.01,33.6757801,-118.0140866,35.33,CLS C
DMA 59,Metal Loss,Ext,2732.94,24.16,0.280,35000,SMLS,8.625,715,28,0.080,0.723,0.573,6:44,2865,0.347,28,0.72,2852,AGM 1,981.17,AGM 2,2215.35,0.57,25.23,43.74,41.96,25.80,1050,8.41,9.01,33.6757802,-118.0140863,35.33,
SLV 1,Sleeve Start,,2757.10,1.06,0.280,35000,SMLS,8.625,715,,,27.242,,,,,,,,AGM 1,1005.33,AGM 2,2191.19,24.73,1.07,43.74,41.96,25.80,1050,8.41,9.01,33.6758026,-118.0140120,36.56,Repair Sleeve - Start
GWD 1060,Girth Weld,,2758.17,0.08,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,1006.40,AGM 2,2190.12,25.80,8.41,41.96,25.80,8.41,1060,9.01,1.10,33.6758037,-118.0140088,36.63,
BND 27,Bend,,2758.25,1.12,0.280,35000,SMLS,8.625,715,,,23.386,,,,,,,,AGM 1,1006.48,AGM 2,2190.04,0.08,8.33,41.96,25.80,8.41,1060,9.01,1.10,33.6758038,-118.0140085,36.64,9.8D 15.4 deg left turn bend
SLV 2,Sleeve End,,2759.37,6.45,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,1007.61,AGM 2,2188.92,1.21,7.20,41.96,25.80,8.41,1060,9.01,1.10,33.6758053,-118.0140054,36.71,Repair Sleeve - End
SLV 3,Sleeve Start,,2765.82,0.76,0.280,35000,SMLS,8.625,715,,,13.244,,,,,,,,AGM 1,1014.05,AGM 2,2182.47,7.65,0.76,41.96,25.80,8.41,1060,9.01,1.10,33.6758153,-118.0139880,37.10,Repair Sleeve - Start
GWD 1070,Girth Weld,,2766.58,0.35,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,1014.81,AGM 2,2181.71,8.41,9.01,25.80,8.41,9.01,1070,1.10,1.83,33.6758164,-118.0139860,37.14,
SLV 4,Sleeve End,,2766.92,1.42,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,1015.16,AGM 2,2181.37,0.35,8.66,25.80,8.41,9.01,1070,1.10,1.83,33.6758170,-118.0139851,37.16,Repair Sleeve - End
SLV 5,Sleeve Start,,2768.34,1.25,0.280,35000,SMLS,8.625,715,,,19.295,,,,,,,,AGM 1,1016.57,AGM 2,2179.95,1.76,7.25,25.80,8.41,9.01,1070,1.10,1.83,33.6758191,-118.0139812,37.23,Repair Sleeve - Start
DNT 1,Deformation,,2769.59,0.36,0.280,35000,SMLS,8.625,715,1.9,0.165,1.938,1.854,2:18,,,,,,AGM 1,1017.83,AGM 2,2178.70,3.02,5.99,25.80,8.41,9.01,1070,1.10,1.83,33.6758210,-118.0139778,37.31,Under SLV
SLV 6,Sleeve End,,2769.95,5.64,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,1018.18,AGM 2,2178.34,3.37,5.64,25.80,8.41,9.01,1070,1.10,1.83,33.6758216,-118.0139769,37.32,Repair Sleeve - End
GWD 1080,Girth Weld,,2775.58,1.10,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1023.82,AGM 2,2172.70,9.01,1.10,8.41,9.01,1.10,1080,1.83,38.72,33.6758301,-118.0139615,37.62,
GWD 1090,Girth Weld,,2776.68,0.99,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1024.92,AGM 2,2171.60,1.10,1.83,9.01,1.10,1.83,1090,38.72,40.38,33.6758317,-118.0139584,37.67,
BND 28,Bend,,2777.68,0.84,0.219,35000,ERW,8.625,715,,,26.139,,,,,,,,AGM 1,1025.91,AGM 2,2170.61,1.00,0.84,9.01,1.10,1.83,1090,38.72,40.38,33.6758336,-118.0139562,37.69,3.0D 53.1 deg left turn over bend
GWD 1100,Girth Weld,,2778.52,38.72,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1026.75,AGM 2,2169.77,1.83,38.72,1.10,1.83,38.72,1100,40.38,2.10,33.6758358,-118.0139553,37.69,
GWD 1110,Girth Weld,,2817.24,40.38,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1065.47,AGM 2,2131.05,38.72,40.38,1.83,38.72,40.38,1110,2.10,28.40,33.6759414,-118.0139467,36.74,
GWD 1120,Girth Weld,,2857.62,1.18,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1105.86,AGM 2,2090.67,40.38,2.10,38.72,40.38,2.10,1120,28.40,40.89,33.6760516,-118.0139380,37.22,
BND 29,Bend,,2858.80,0.92,0.219,35000,ERW,8.625,715,,,27.763,,,,,,,,AGM 1,1107.03,AGM 2,2089.49,1.18,0.92,38.72,40.38,2.10,1120,28.40,40.89,33.6760547,-118.0139368,37.24,3.0D 60.7 deg right turn bend
GWD 1130,Girth Weld,,2859.72,28.39,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1107.95,AGM 2,2088.57,2.10,28.40,40.38,2.10,28.40,1130,40.89,40.62,33.6760564,-118.0139347,37.28,
GWD 1140,Girth Weld,,2888.11,40.89,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1136.35,AGM 2,2060.17,28.40,40.89,2.10,28.40,40.89,1140,40.62,1.88,33.6760885,-118.0138501,37.77,
GWD 1150,Girth Weld,,2929.00,40.62,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1177.24,AGM 2,2019.29,40.89,40.62,28.40,40.89,40.62,1150,1.88,9.42,33.6761345,-118.0137281,37.46,
GWD 1160,Girth Weld,,2969.62,1.13,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1217.86,AGM 2,1978.66,40.62,1.88,40.89,40.62,1.88,1160,9.42,0.99,33.6761800,-118.0136069,36.76,
BND 30,Bend,,2970.76,0.74,0.219,35000,ERW,8.625,715,,,26.590,,,,,,,,AGM 1,1218.99,AGM 2,1977.53,1.13,0.74,40.89,40.62,1.88,1160,9.42,0.99,33.6761817,-118.0136038,36.74,3.0D 52.7 deg left turn over bend
GWD 1170,Girth Weld,,2971.50,9.42,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1219.74,AGM 2,1976.78,1.88,9.42,40.62,1.88,9.42,1170,0.99,20.02,33.6761834,-118.0136025,36.71,
GWD 1180,Girth Weld,,2980.92,0.56,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1229.16,AGM 2,1967.37,9.42,0.99,1.88,9.42,0.99,1180,20.02,0.93,33.6762083,-118.0135948,36.21,
BND 31,Bend,,2981.49,0.43,0.219,35000,ERW,8.625,715,,,11.929,,,,,,,,AGM 1,1229.72,AGM 2,1966.80,0.56,0.43,1.88,9.42,0.99,1180,20.02,0.93,33.6762098,-118.0135943,36.26,3.0D 30.1 deg left turn sag bend
GWD 1190,Girth Weld,,2981.92,20.02,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1230.15,AGM 2,1966.37,0.99,20.02,9.42,0.99,20.02,1190,0.93,3.03,33.6762109,-118.0135940,36.36,
GWD 1200,Girth Weld,,3001.94,0.93,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,1250.17,AGM 2,1946.35,20.02,0.93,0.99,20.02,0.93,1200,3.03,37.79,33.6762593,-118.0135810,44.74,
